,DISTRICT,COUNTY,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL,Year,WEP,REF
5,1,District Total,Total,143322,162026,12532,2251,24292,1021,284,128161,473889,2014,,
14,2,District Total,Total,159091,157762,9153,1885,18575,731,201,111883,459281,2014,,
26,3,District Total,Total,192720,152366,6441,1304,20139,749,188,125451,499358,2014,,
32,4,District Total,Total,205698,171404,5392,1425,18222,702,141,109038,512022,2014,,
41,5,District Total,Total,301082,35339,1617,1358,9052,252,50,56703,405453,2014,,
47,6,District Total,Total,206687,54900,2387,956,9824,461,87,82946,358248,2014,,
59,7,District Total,Total,280527,26660,1047,1742,8626,923,143,70161,389829,2014,,
68,8,District Total,Total,337722,33155,1321,1997,9695,594,77,60440,445001,2014,,
74,9,District Total,Total,325553,30677,1195,1850,9181,722,100,63705,432983,2014,,
83,10,District Total,Total,271719,52175,1393,830,12906,769,205,86222,426219,2014,,
92,11,District Total,Total,191847,106988,5647,1532,13443,522,138,84304,404421,2014,,
104,12,District Total,Total,281063,66883,1158,827,18641,1280,311,100989,471152,2014,,
113,13,District Total,Total,352190,20725,946,1568,9773,684,106,59234,445226,2014,,
122,14,District Total,Total,216216,36186,2074,1126,8502,485,83,60441,325113,2014,,
128,15,District Total,Total,295663,15461,1232,1799,6318,180,43,47385,368081,2014,,
137,16,District Total,Total,261787,69481,4880,1368,14503,403,75,75586,428083,2014,,
146,17,District Total,Total,199459,106724,8010,1467,20434,714,69,106993,443870,2014,,
161,18,District Total,Total,157273,141869,9019,1917,24335,989,220,107490,443112,2014,,
197,19,District Total,Total,144423,147579,11358,2557,28874,1929,252,126025,462997,2014,,
215,20,District Total,Total,192546,119817,11220,2638,28319,1274,452,115069,471335,2014,,
254,21,District Total,Total,127262,181832,6131,1967,27090,1144,92,90227,435745,2014,,
281,22,District Total,Total,140503,169424,6875,2192,25632,1182,164,87180,433152,2014,,
317,23,District Total,Total,141994,165322,7608,2388,24327,1596,242,90971,434448,2014,,
332,24,District Total,Total,156588,149770,9022,2316,24384,1391,341,111682,455494,2014,,
338,25,District Total,Total,182205,127197,7923,1607,20703,1172,436,105422,446665,2014,,
347,26,District Total,Total,258486,97372,8011,2729,20564,1216,333,74207,462918,2014,,
374,27,District Total,Total,150218,186679,12725,2514,26002,1152,340,97133,476763,2014,,
5,1,District Total,Total,139969,158364,12485,2269,24114,1069,304,128273,466850,2015,1.0,2.0
14,2,District Total,Total,157197,155387,9168,1904,18575,758,238,113234,456463,2015,2.0,0.0
26,3,District Total,Total,191279,150914,6412,1335,20299,782,204,127111,498339,2015,1.0,2.0
32,4,District Total,Total,207578,170959,5540,1444,18647,750,154,112552,517624,2015,0.0,0.0
41,5,District Total,Total,298202,34629,1612,1381,9044,280,46,57746,402940,2015,0.0,0.0
47,6,District Total,Total,202604,53030,2299,991,9684,472,85,83375,352540,2015,0.0,0.0
59,7,District Total,Total,276134,25764,1012,1719,8543,961,139,71051,385324,2015,1.0,0.0
68,8,District Total,Total,336297,32703,1339,2028,9768,639,80,61920,444774,2015,0.0,0.0
74,9,District Total,Total,324757,30368,1177,1869,9191,773,100,64975,433210,2015,0.0,0.0
83,10,District Total,Total,266232,51134,1351,820,12593,835,205,86374,419544,2015,0.0,0.0
92,11,District Total,Total,191904,105966,5618,1600,13554,603,149,87086,406480,2015,0.0,0.0
104,12,District Total,Total,273454,64549,1146,871,18227,1295,293,100132,459967,2015,0.0,0.0
113,13,District Total,Total,352383,20238,939,1580,9813,753,109,59819,445634,2015,0.0,0.0
122,14,District Total,Total,214225,34952,2043,1165,8462,531,91,60975,322444,2015,0.0,0.0
128,15,District Total,Total,302455,15822,1275,1870,6457,226,42,49502,377649,2015,0.0,0.0
137,16,District Total,Total,260783,68243,4763,1356,12944,433,75,77884,426481,2015,0.0,0.0
146,17,District Total,Total,199247,105466,7936,1496,18895,787,67,109166,443060,2015,0.0,0.0
161,18,District Total,Total,155017,139062,9035,1986,24095,1018,249,108436,438900,2015,1.0,1.0
197,19,District Total,Total,140868,143441,11374,2552,28679,2035,299,125146,454396,2015,0.0,2.0
215,20,District Total,Total,183123,113728,11064,2475,27375,1319,476,111646,451209,2015,3.0,0.0
254,21,District Total,Total,122096,175526,6190,1900,26471,1194,92,88393,421862,2015,0.0,0.0
281,22,District Total,Total,135755,165297,6966,2165,25308,1226,208,86887,423813,2015,0.0,1.0
317,23,District Total,Total,135764,160120,7730,2342,23661,1612,285,89804,421320,2015,2.0,0.0
332,24,District Total,Total,151262,145428,9052,2266,23966,1456,400,110775,444607,2015,0.0,2.0
338,25,District Total,Total,177801,123818,7957,1594,20542,1238,473,104808,438231,2015,0.0,0.0
347,26,District Total,Total,250372,94127,8065,2708,20357,1332,349,74281,451591,2015,0.0,0.0
374,27,District Total,Total,145916,183068,13010,2517,26012,1213,375,97350,469462,2015,1.0,0.0
5,1,District Total,Total,145983,161638,13157,2341,24700,1096,325,133195,482491,2016,47.0,9.0
14,2,District Total,Total,161992,157627,9477,1939,18958,828,245,117888,468995,2016,37.0,4.0
26,3,District Total,Total,194508,152879,6489,1385,20507,811,208,130581,507432,2016,57.0,7.0
32,4,District Total,Total,212876,172537,5604,1456,18790,836,168,117126,529455,2016,52.0,10.0
41,5,District Total,Total,295129,34174,1587,1366,8945,310,44,60034,401645,2016,52.0,4.0
47,6,District Total,Total,199787,51674,2206,995,9388,504,89,84381,349059,2016,29.0,6.0
59,7,District Total,Total,259832,22438,856,1621,7744,872,133,65468,359029,2016,57.0,8.0
68,8,District Total,Total,313039,29589,1208,1858,8903,594,78,57182,412505,2016,49.0,5.0
74,9,District Total,Total,304434,27946,1064,1739,8335,760,99,59899,404316,2016,36.0,4.0
83,10,District Total,Total,259107,48895,1242,712,11877,779,195,82691,405536,2016,37.0,1.0
92,11,District Total,Total,186341,103473,5599,1556,13141,614,148,85175,396102,2016,39.0,16.0
104,12,District Total,Total,271247,62557,1097,825,17206,1188,285,97469,451924,2016,40.0,10.0
113,13,District Total,Total,348274,19384,893,1570,9496,785,109,59010,439614,2016,85.0,8.0
122,14,District Total,Total,214044,33912,2006,1185,8248,537,95,62073,322152,2016,49.0,3.0
128,15,District Total,Total,302918,15767,1248,1864,6350,269,35,50090,378657,2016,109.0,7.0
137,16,District Total,Total,265730,69064,4759,1372,13268,467,80,80743,435526,2016,39.0,4.0
146,17,District Total,Total,207435,108216,8071,1596,19444,822,81,113106,458925,2016,45.0,109.0
161,18,District Total,Total,160532,141272,9280,2017,24572,1170,263,111986,451187,2016,49.0,46.0
197,19,District Total,Total,147253,144898,11625,2557,28924,1980,335,126928,464578,2016,54.0,24.0
215,20,District Total,Total,192531,115655,11272,2526,27978,1404,467,115393,467303,2016,68.0,9.0
260,22,District Total,Total,140836,167833,7190,2255,25819,1277,299,90014,435576,2016,46.0,7.0
296,23,District Total,Total,140987,161892,7979,2391,24072,1604,314,93046,432334,2016,40.0,9.0
311,24,District Total,Total,154839,145731,9217,2284,24102,1512,415,113485,451634,2016,33.0,16.0
317,25,District Total,Total,185356,125655,8101,1627,20942,1259,501,108374,451850,2016,31.0,4.0
326,26,District Total,Total,252684,94639,8249,2821,20618,1424,361,77891,458765,2016,53.0,25.0
353,27,District Total,Total,148022,185078,13395,2567,26239,1316,472,100161,477290,2016,25.0,15.0
5,1,District Total,Total,151034,168716,12343,2191,24361,1161,403,133077,493409,2017,99.0,24.0
14,2,District Total,Total,167376,164035,8937,1811,18767,851,308,118701,480910,2017,95.0,29.0
26,3,District Total,Total,202055,158700,6224,1276,20550,847,257,133767,523876,2017,108.0,92.0
32,4,District Total,Total,220487,174965,5313,1405,18663,932,208,119684,541896,2017,100.0,139.0
41,5,District Total,Total,320617,36293,1574,1338,9340,436,48,64478,434272,2017,126.0,22.0
47,6,District Total,Total,216297,57267,2175,937,9777,610,103,92264,379552,2017,105.0,17.0
59,7,District Total,Total,304292,26612,966,1606,8245,1018,158,75431,418489,2017,146.0,15.0
68,8,District Total,Total,362537,36365,1285,1893,9936,753,86,68104,481103,2017,134.0,10.0
74,9,District Total,Total,349627,33875,1175,1734,9155,868,107,69946,466589,2017,91.0,11.0
83,10,District Total,Total,288840,56347,1326,666,12259,862,238,95370,456013,2017,94.0,11.0
92,11,District Total,Total,202807,118858,5551,1529,14029,706,172,94121,437911,2017,107.0,31.0
104,12,District Total,Total,306605,69021,1109,735,17682,1271,340,111962,508846,2017,96.0,25.0
113,13,District Total,Total,380758,20955,884,1536,9665,899,127,63712,478737,2017,181.0,20.0
122,14,District Total,Total,237366,37424,1979,1119,8563,656,106,67164,354514,2017,129.0,8.0
128,15,District Total,Total,328974,16715,1233,1858,6578,381,38,53013,409016,2017,209.0,17.0
137,16,District Total,Total,287801,71679,4580,1367,13926,555,99,86394,466522,2017,95.0,26.0
146,17,District Total,Total,219219,112401,7785,1553,19997,911,115,117261,479485,2017,92.0,151.0
161,18,District Total,Total,164746,144587,9089,1934,24657,1255,364,112281,459111,2017,118.0,80.0
197,19,District Total,Total,150122,147553,11267,2369,28468,2030,379,124722,467072,2017,107.0,55.0
215,20,District Total,Total,193727,116062,10970,2373,27630,1534,383,116340,469214,2017,147.0,48.0
254,21,District Total,Total,127555,177771,6368,1816,26709,1361,158,91527,433374,2017,55.0,54.0
275,23,District Total,Total,139338,162266,7739,2183,23239,1616,365,90813,427750,2017,105.0,86.0
290,24,District Total,Total,157564,148693,8999,2146,24026,1539,512,113873,457492,2017,90.0,50.0
296,25,District Total,Total,190307,127870,7778,1543,20575,1300,622,109041,459178,2017,112.0,30.0
305,26,District Total,Total,258513,97946,8017,2721,20762,1480,450,81634,471716,2017,125.0,68.0
332,27,District Total,Total,150753,191859,13256,2458,26619,1381,573,102141,489151,2017,60.0,51.0
5,1,District Total,Total,154556,170598,12421,2196,24790,1204,422,136983,503369,2018,155.0,44.0
14,2,District Total,Total,168840,163748,8885,1831,19051,891,304,121621,485360,2018,143.0,46.0
26,3,District Total,Total,201269,157434,6177,1262,20625,900,244,136222,524399,2018,147.0,119.0
32,4,District Total,Total,219629,171163,5226,1405,18724,962,168,121928,539532,2018,152.0,175.0
41,5,District Total,Total,318456,35517,1556,1377,9305,513,45,66486,433469,2018,184.0,30.0
47,6,District Total,Total,213040,56210,2096,926,9694,627,92,94019,376907,2018,165.0,38.0
59,7,District Total,Total,303054,26091,936,1588,8137,1054,133,76794,418023,2018,213.0,23.0
68,8,District Total,Total,361238,36029,1263,1937,9894,822,74,70440,481937,2018,213.0,27.0
74,9,District Total,Total,347466,33418,1153,1731,9112,938,101,71468,465556,2018,147.0,22.0
83,10,District Total,Total,286611,55611,1305,684,12036,886,209,96482,453985,2018,137.0,24.0
92,11,District Total,Total,200410,117983,5708,1549,14076,723,156,96237,437084,2018,173.0,69.0
104,12,District Total,Total,304115,67069,1083,758,17332,1253,297,112381,504460,2018,138.0,34.0
113,13,District Total,Total,378661,20623,892,1539,9546,1007,109,65622,478293,2018,256.0,38.0
122,14,District Total,Total,235745,36415,1935,1138,8490,720,90,68696,353466,2018,209.0,28.0
128,15,District Total,Total,327124,16567,1272,1902,6616,479,35,54990,409335,2018,312.0,38.0
137,16,District Total,Total,281385,69086,4408,1321,13646,638,108,85775,456598,2018,159.0,72.0
146,17,District Total,Total,218664,111054,8248,1527,19671,917,110,116872,477406,2018,134.0,209.0
161,18,District Total,Total,167303,145058,9159,1960,24968,1259,389,114861,465231,2018,166.0,108.0
197,19,District Total,Total,152792,147025,11232,2400,28773,2076,397,125329,470289,2018,176.0,89.0
215,20,District Total,Total,196570,115313,11026,2451,27952,1641,370,118987,474621,2018,211.0,100.0
254,21,District Total,Total,128438,177800,6498,1834,27235,1418,226,94182,437808,2018,104.0,73.0
281,22,District Total,Total,138908,168093,7065,2080,25362,1323,426,89744,433264,2018,162.0,101.0
317,23,District Total,Total,139896,162757,7852,2218,23678,1648,401,93572,432273,2018,150.0,101.0
332,24,District Total,Total,159281,148098,9012,2169,24493,1605,595,116151,461628,2018,163.0,61.0
338,25,District Total,Total,193361,127271,7804,1550,20910,1338,668,111405,464535,2018,182.0,46.0
347,26,District Total,Total,254235,96127,7913,2656,20757,1506,491,82730,466723,2018,214.0,94.0
374,27,District Total,Total,149986,191600,13375,2464,26958,1439,669,104178,490852,2018,110.0,73.0
